2018-07-17 03:12:35 startup archives unpack
2018-07-17 03:12:35 install libssl1.0.2:amd64 <none> 1.0.2l-2+deb9u3
2018-07-17 03:12:35 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-07-17 03:12:35 status half-installed libssl1.0.2:amd64 1.0.2l-2+deb9u3
2018-07-17 03:12:35 status unpacked libssl1.0.2:amd64 1.0.2l-2+deb9u3
2018-07-17 03:12:35 status unpacked libssl1.0.2:amd64 1.0.2l-2+deb9u3
2018-07-17 03:12:35 install libssl1.1:amd64 <none> 1.1.0f-3+deb9u2
2018-07-17 03:12:35 status half-installed libssl1.1:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:35 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:35 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:35 install netbase:all <none> 5.4
2018-07-17 03:12:35 status half-installed netbase:all 5.4
2018-07-17 03:12:35 status unpacked netbase:all 5.4
2018-07-17 03:12:35 status unpacked netbase:all 5.4
2018-07-17 03:12:35 install libgmp10:amd64 <none> 2:6.1.2+dfsg-1
2018-07-17 03:12:35 status half-installed libgmp10:amd64 2:6.1.2+dfsg-1
2018-07-17 03:12:35 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-07-17 03:12:35 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-07-17 03:12:35 install libhogweed4:amd64 <none> 3.3-1+b2
2018-07-17 03:12:35 status half-installed libhogweed4:amd64 3.3-1+b2
2018-07-17 03:12:35 status unpacked libhogweed4:amd64 3.3-1+b2
2018-07-17 03:12:35 status unpacked libhogweed4:amd64 3.3-1+b2
2018-07-17 03:12:35 install libffi6:amd64 <none> 3.2.1-6
2018-07-17 03:12:35 status half-installed libffi6:amd64 3.2.1-6
2018-07-17 03:12:35 status unpacked libffi6:amd64 3.2.1-6
2018-07-17 03:12:35 status unpacked libffi6:amd64 3.2.1-6
2018-07-17 03:12:35 install libp11-kit0:amd64 <none> 0.23.3-2
2018-07-17 03:12:35 status half-installed libp11-kit0:amd64 0.23.3-2
2018-07-17 03:12:35 status unpacked libp11-kit0:amd64 0.23.3-2
2018-07-17 03:12:35 status unpacked libp11-kit0:amd64 0.23.3-2
2018-07-17 03:12:35 install libtasn1-6:amd64 <none> 4.10-1.1+deb9u1
2018-07-17 03:12:35 status half-installed libtasn1-6:amd64 4.10-1.1+deb9u1
2018-07-17 03:12:35 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2018-07-17 03:12:35 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2018-07-17 03:12:36 install libgnutls30:amd64 <none> 3.5.8-5+deb9u3
2018-07-17 03:12:36 status half-installed libgnutls30:amd64 3.5.8-5+deb9u3
2018-07-17 03:12:36 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-07-17 03:12:36 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-07-17 03:12:36 install libunistring0:amd64 <none> 0.9.6+really0.9.3-0.1
2018-07-17 03:12:36 status half-installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-07-17 03:12:36 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-07-17 03:12:36 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-07-17 03:12:36 install libidn2-0:amd64 <none> 0.16-1+deb9u1
2018-07-17 03:12:36 status half-installed libidn2-0:amd64 0.16-1+deb9u1
2018-07-17 03:12:36 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2018-07-17 03:12:36 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2018-07-17 03:12:36 install libpsl5:amd64 <none> 0.17.0-3
2018-07-17 03:12:36 status half-installed libpsl5:amd64 0.17.0-3
2018-07-17 03:12:36 status unpacked libpsl5:amd64 0.17.0-3
2018-07-17 03:12:36 status unpacked libpsl5:amd64 0.17.0-3
2018-07-17 03:12:36 install wget:amd64 <none> 1.18-5+deb9u2
2018-07-17 03:12:36 status half-installed wget:amd64 1.18-5+deb9u2
